BHMC Worker Log
20 workers × 750 steps
xTB method        : GFN2-xTB
Temperature        : 600 K
Adaptive operators : True
Operators          : ['twist', 'large_displacement', 'mirror', 'roto_reflection', 'exchange', 'random_so3', 'principal_axis_rotation', 'com_com_approach', 'com_com_separation', 'random_displacement', 'random_rotation', 'local_twist', 'correlated_displacement', 'small_principal_axis_rotation']
Simulation box     : <modules.box.SimulationBox object at 0x7fea99e7c850>

Worker 1: Starting energy = -10.836362 Hartree
Worker 0: Starting energy = -10.836199 Hartree
Worker 1: Step 1 accepted, E=-10.836333 Ha
Worker 2: Starting energy = -10.836361 Hartree
Worker 2: Step 1 accepted, E=-10.836256 Ha
Worker 3: Starting energy = -10.836199 Hartree
Worker 4: Starting energy = -10.836199 Hartree
Worker 5: Starting energy = -10.836362 Hartree
Worker 5: Step 1 accepted, E=-10.835752 Ha
Worker 7: Starting energy = -10.836361 Hartree
Worker 7: Step 1 accepted, E=-10.836359 Ha
Worker 7: Step 2 accepted, E=-10.836309 Ha
Worker 6: Starting energy = -10.836362 Hartree
Worker 8: Starting energy = -10.836362 Hartree
Worker 8: Step 1 accepted, E=-10.836263 Ha
Worker 10: Starting energy = -10.836362 Hartree
Worker 9: Starting energy = -10.836361 Hartree
Worker 10: Step 1 accepted, E=-10.836357 Ha
Worker 9: Step 1 accepted, E=-10.836358 Ha
Worker 10: Step 2 accepted, E=-10.836357 Ha
Worker 9: Step 2 accepted, E=-10.836323 Ha
Worker 10: Step 3 accepted, E=-10.836020 Ha
Worker 9: Step 3 accepted, E=-10.836296 Ha
Worker 15: Starting energy = -10.836178 Hartree
Worker 14: Starting energy = -10.836178 Hartree
Worker 13: Starting energy = -10.836362 Hartree
Worker 12: Starting energy = -10.836362 Hartree
Worker 12: Step 1 accepted, E=-10.836318 Ha
Worker 17: Starting energy = -10.836362 Hartree
Worker 16: Starting energy = -10.836178 Hartree
Worker 18: Starting energy = -10.836178 Hartree
Worker 16: Step 1 accepted, E=-10.836174 Ha
Worker 17: Step 1 accepted, E=-10.836340 Ha
Worker 17: Step 2 accepted, E=-10.836348 Ha
Worker 18: Step 1 accepted, E=-10.836164 Ha
Worker 11: Starting energy = -10.836199 Hartree
Worker 11: Step 3 accepted, E=-10.836149 Ha
Worker 3: Step 1 accepted, E=-10.836199 Ha
Worker 3: Step 2 accepted, E=-10.836192 Ha
Worker 3: Step 3 accepted, E=-10.836188 Ha
Worker 3: Step 4 accepted, E=-10.836188 Ha
Worker 3: Step 5 accepted, E=-10.836192 Ha
Worker 3: Step 6 accepted, E=-10.836197 Ha
Worker 3: Step 7 accepted, E=-10.836191 Ha
Worker 0: Step 1 accepted, E=-10.836199 Ha
Worker 0: Step 2 accepted, E=-10.836196 Ha
Worker 3: Step 9 accepted, E=-10.836192 Ha
Worker 3: Step 10, op=random_displacement, ΔE=0.0000 eV, accept=True
Worker 3: Step 10 accepted, E=-10.836191 Ha
Worker 3: Step 11 accepted, E=-10.835998 Ha
Worker 19: Starting energy = -10.836362 Hartree
Worker 4: Step 1 accepted, E=-10.836193 Ha
Worker 4: Step 2 accepted, E=-10.836193 Ha
Worker 7: Step 3 accepted, E=-10.836310 Ha
Worker 6: Step 1 accepted, E=-10.836361 Ha
Worker 9: Step 4 accepted, E=-10.836298 Ha
Worker 10: Step 4 accepted, E=-10.836010 Ha
Worker 10: Step 5 accepted, E=-10.836075 Ha
Worker 10: Step 6 accepted, E=-10.836072 Ha
Worker 5: Step 2 accepted, E=-10.835711 Ha
Worker 10: Step 7 accepted, E=-10.836060 Ha
Worker 5: Step 3 accepted, E=-10.835736 Ha
Worker 10: Step 8 accepted, E=-10.836061 Ha
Worker 10: Step 9 accepted, E=-10.834958 Ha
Worker 5: Step 4 accepted, E=-10.835758 Ha
Worker 10: Step 10, op=large_displacement, ΔE=0.0119 eV, accept=True
Worker 10: Step 10 accepted, E=-10.834520 Ha
Worker 5: Step 5 accepted, E=-10.835739 Ha
Worker 5: Step 7 accepted, E=-10.835783 Ha
Worker 5: Step 8 accepted, E=-10.835802 Ha
Worker 1: No change from 'roto_reflection', skipping.
Worker 1: Step 3 accepted, E=-10.836319 Ha
Worker 1: Step 4 accepted, E=-10.836320 Ha
Worker 1: Step 5 accepted, E=-10.836332 Ha
Worker 1: No change from 'twist', skipping.
Worker 1: Step 7 accepted, E=-10.836331 Ha
Worker 1: Step 8 accepted, E=-10.836283 Ha
Worker 1: Step 10, op=local_twist, ΔE=0.0002 eV, accept=True
Worker 1: Step 10 accepted, E=-10.836276 Ha
Worker 1: Step 11 accepted, E=-10.836278 Ha
Worker 1: Step 12 accepted, E=-10.836266 Ha
Worker 1: No change from 'mirror', skipping.
Worker 1: Step 14 accepted, E=-10.836305 Ha
Worker 1: Step 15 accepted, E=-10.836295 Ha
Worker 1: Step 16 accepted, E=-10.836295 Ha
Worker 1: Step 17 accepted, E=-10.836285 Ha
Worker 1: Step 18 accepted, E=-10.836253 Ha
Worker 1: Step 19 accepted, E=-10.836250 Ha
Worker 14: Step 1 accepted, E=-10.836177 Ha
Worker 15: Step 1 accepted, E=-10.836178 Ha
Worker 14: Step 2 accepted, E=-10.836169 Ha
Worker 2: Step 2 accepted, E=-10.836241 Ha
Worker 15: Step 2 accepted, E=-10.836171 Ha
Worker 14: Step 3 accepted, E=-10.836168 Ha
Worker 2: Step 3 accepted, E=-10.836247 Ha
Worker 15: Step 3 accepted, E=-10.836163 Ha
Worker 14: Step 4 accepted, E=-10.836157 Ha
Worker 14: Step 5 accepted, E=-10.836061 Ha
Worker 14: Step 6 accepted, E=-10.836049 Ha
Worker 14: Step 7 accepted, E=-10.836005 Ha
Worker 14: Step 8 accepted, E=-10.836040 Ha
Worker 14: Step 9 accepted, E=-10.835348 Ha
Worker 16: Step 2 accepted, E=-10.836173 Ha
Worker 17: Step 3 accepted, E=-10.836357 Ha
Worker 16: Step 3 accepted, E=-10.836172 Ha
Worker 17: Step 4 accepted, E=-10.836356 Ha
Worker 16: Step 4 accepted, E=-10.836166 Ha
Worker 16: Step 5 accepted, E=-10.836159 Ha
Worker 16: Step 6 accepted, E=-10.836128 Ha
Worker 16: Step 7 accepted, E=-10.836154 Ha
Worker 16: Step 8 accepted, E=-10.836150 Ha
Worker 16: Step 9 accepted, E=-10.836024 Ha
Worker 16: Step 10, op=local_twist, ΔE=0.0001 eV, accept=True
Worker 16: Step 10 accepted, E=-10.836021 Ha
Worker 16: Step 11 accepted, E=-10.836003 Ha
Worker 16: Step 12 accepted, E=-10.836036 Ha
Worker 16: Step 13 accepted, E=-10.835975 Ha
Worker 16: Step 14 accepted, E=-10.835971 Ha
Worker 16: Step 15 accepted, E=-10.835960 Ha
Worker 16: Step 16 accepted, E=-10.835961 Ha
Worker 18: Step 2 accepted, E=-10.836162 Ha
Worker 18: Step 3 accepted, E=-10.836162 Ha
Worker 18: Step 4 accepted, E=-10.836150 Ha
Worker 18: Step 5 accepted, E=-10.836028 Ha
Worker 18: Step 6 accepted, E=-10.836028 Ha
Worker 18: Step 7 accepted, E=-10.836028 Ha
Worker 18: Step 8 accepted, E=-10.836027 Ha
Worker 12: Step 2 accepted, E=-10.836319 Ha
Worker 12: Step 3 accepted, E=-10.836293 Ha
Worker 12: Step 4 accepted, E=-10.836291 Ha
Worker 12: Step 5 accepted, E=-10.836343 Ha
Worker 0: Step 4 accepted, E=-10.836196 Ha
Worker 12: Step 6 accepted, E=-10.836349 Ha
Worker 0: Step 5 accepted, E=-10.836195 Ha
Worker 12: Step 7 accepted, E=-10.836352 Ha
Worker 0: Step 6 accepted, E=-10.836156 Ha
Worker 0: Step 7 accepted, E=-10.836157 Ha
Worker 0: Step 8 accepted, E=-10.836163 Ha
Worker 0: Step 9 accepted, E=-10.836153 Ha
Worker 0: Step 10, op=local_twist, ΔE=0.0002 eV, accept=True
Worker 0: Step 10 accepted, E=-10.836146 Ha
Worker 0: No change from 'roto_reflection', skipping.
Worker 0: Step 12 accepted, E=-10.836150 Ha
Worker 0: Step 13 accepted, E=-10.836042 Ha
Worker 0: Step 14 accepted, E=-10.836122 Ha
Worker 0: Step 15 accepted, E=-10.833536 Ha
Worker 0: Step 16 accepted, E=-10.833547 Ha
Worker 0: Step 17 accepted, E=-10.833422 Ha
Worker 1: Step 20, op=small_principal_axis_rotation, ΔE=0.0009 eV, accept=True
Worker 1: Step 20 accepted, E=-10.836217 Ha
Worker 1: Step 21 accepted, E=-10.836298 Ha
Worker 1: Step 23 accepted, E=-10.836243 Ha
Worker 1: Step 24 accepted, E=-10.836271 Ha
Worker 1: Step 25 accepted, E=-10.836255 Ha
Worker 1: Step 26 accepted, E=-10.836274 Ha
Worker 1: Step 27 accepted, E=-10.836266 Ha
Worker 1: Step 28 accepted, E=-10.836255 Ha
Worker 1: Step 29 accepted, E=-10.836156 Ha
Worker 1: Step 30 accepted, E=-10.836195 Ha
Worker 19: Step 1 accepted, E=-10.836356 Ha
Worker 1: Step 31 accepted, E=-10.836169 Ha
Worker 2: Step 4 accepted, E=-10.836248 Ha
Worker 19: Step 2 accepted, E=-10.836260 Ha
Worker 2: Step 5 accepted, E=-10.836292 Ha
Worker 1: Step 32 accepted, E=-10.836142 Ha
Worker 2: Step 6 accepted, E=-10.836340 Ha
Worker 1: Step 33 accepted, E=-10.836152 Ha
Worker 2: Step 7 accepted, E=-10.836245 Ha
Worker 2: Step 8 accepted, E=-10.836216 Ha
Worker 1: Step 35 accepted, E=-10.836138 Ha
Worker 2: No change from 'small_principal_axis_rotation', skipping.
Worker 5: Step 9 accepted, E=-10.835802 Ha
Worker 1: Step 36 accepted, E=-10.836128 Ha
Worker 2: Step 10, op=random_displacement, ΔE=0.0096 eV, accept=True
Worker 2: Step 10 accepted, E=-10.835865 Ha
Worker 5: Step 10 accepted, E=-10.835844 Ha
Worker 1: Step 37 accepted, E=-10.836182 Ha
Worker 2: Step 11 accepted, E=-10.835852 Ha
Worker 5: Step 11 accepted, E=-10.835922 Ha
Worker 1: Step 38 accepted, E=-10.836132 Ha
Worker 1: No change from 'small_principal_axis_rotation', skipping.
Worker 2: Step 12 accepted, E=-10.836122 Ha
Worker 5: Step 12 accepted, E=-10.835992 Ha
Worker 1: Step 40, op=random_rotation, ΔE=0.0018 eV, accept=True
Worker 2: Step 13 accepted, E=-10.835963 Ha
Worker 1: Step 40 accepted, E=-10.836066 Ha
Worker 5: Step 13 accepted, E=-10.835989 Ha
Worker 1: Step 41 accepted, E=-10.835997 Ha
Worker 5: Step 14 accepted, E=-10.835883 Ha
Worker 2: Step 15 accepted, E=-10.835475 Ha
Worker 1: Step 42 accepted, E=-10.836056 Ha
Worker 5: Step 15 accepted, E=-10.835881 Ha
Worker 2: Step 16 accepted, E=-10.835476 Ha
Worker 1: Step 43 accepted, E=-10.836203 Ha
Worker 5: Step 16 accepted, E=-10.835905 Ha
Worker 2: Step 17 accepted, E=-10.835473 Ha
Worker 1: Step 44 accepted, E=-10.836247 Ha
Worker 5: Step 17 accepted, E=-10.835712 Ha
Worker 1: Step 45 accepted, E=-10.836299 Ha
Worker 2: Step 18 accepted, E=-10.835481 Ha
Worker 5: Step 18 accepted, E=-10.835880 Ha
Worker 1: Step 46 accepted, E=-10.836298 Ha
Worker 2: Step 19 accepted, E=-10.833990 Ha
Worker 1: Step 47 accepted, E=-10.836310 Ha
Worker 2: Step 20 accepted, E=-10.834721 Ha
Worker 1: Step 48 accepted, E=-10.836322 Ha
Worker 2: Step 21 accepted, E=-10.835238 Ha
Worker 1: Step 49 accepted, E=-10.836322 Ha
Worker 2: Step 22 accepted, E=-10.835318 Ha
Worker 1: No change from 'principal_axis_rotation', skipping.
Worker 1: Step 51 accepted, E=-10.836310 Ha
Worker 1: No change from 'roto_reflection', skipping.
Worker 2: Step 24 accepted, E=-10.835467 Ha
Worker 1: Step 53 accepted, E=-10.836325 Ha
Worker 1: Step 54 accepted, E=-10.836320 Ha
Worker 2: Step 26 accepted, E=-10.835463 Ha
Worker 1: Step 55 accepted, E=-10.836337 Ha
Worker 2: Step 27 accepted, E=-10.836016 Ha
Worker 1: Step 56 accepted, E=-10.836291 Ha
Worker 2: Step 28 accepted, E=-10.836084 Ha
Worker 1: Step 57 accepted, E=-10.836298 Ha
Worker 2: Step 29 accepted, E=-10.836077 Ha
Worker 1: Step 58 accepted, E=-10.836273 Ha
Worker 2: Step 30, op=random_rotation, ΔE=0.0000 eV, accept=True
Worker 2: Step 30 accepted, E=-10.836076 Ha
Worker 1: Step 59 accepted, E=-10.836274 Ha
Worker 2: Step 31 accepted, E=-10.836085 Ha
Worker 1: Step 60 accepted, E=-10.836275 Ha
Worker 2: Step 32 accepted, E=-10.835636 Ha
Worker 1: Step 61 accepted, E=-10.836204 Ha
Worker 2: Step 33 accepted, E=-10.835633 Ha
Worker 1: Step 62 accepted, E=-10.836204 Ha
Worker 2: Step 34 accepted, E=-10.835554 Ha
Worker 2: Step 35 accepted, E=-10.835549 Ha
Worker 1: Step 63 accepted, E=-10.836199 Ha
Worker 2: Step 36 accepted, E=-10.835594 Ha
Worker 1: Step 64 accepted, E=-10.836199 Ha
Worker 2: Step 37 accepted, E=-10.835601 Ha
Worker 1: Step 65 accepted, E=-10.836245 Ha
Worker 2: Step 38 accepted, E=-10.835664 Ha
Worker 1: Step 66 accepted, E=-10.836248 Ha
Worker 2: Step 39 accepted, E=-10.835641 Ha
Worker 1: Step 67 accepted, E=-10.836146 Ha
Worker 2: Step 40 accepted, E=-10.835652 Ha
Worker 1: Step 68 accepted, E=-10.836156 Ha
Worker 2: Step 41 accepted, E=-10.835652 Ha
Worker 2: Step 42 accepted, E=-10.835652 Ha
Worker 2: No change from 'small_principal_axis_rotation', skipping.
Worker 1: Step 70, op=random_so3, ΔE=0.0487 eV, accept=False
Worker 8: Step 2 accepted, E=-10.836265 Ha
Worker 2: Step 44 accepted, E=-10.835532 Ha
Worker 8: Step 3 accepted, E=-10.836332 Ha
Worker 2: Step 45 accepted, E=-10.835518 Ha
Worker 8: Step 4 accepted, E=-10.836335 Ha
Worker 1: Step 72 accepted, E=-10.836157 Ha
Worker 8: No change from 'small_principal_axis_rotation', skipping.
Worker 2: Step 46 accepted, E=-10.835497 Ha
Worker 1: Step 73 accepted, E=-10.836182 Ha
Worker 8: Step 6 accepted, E=-10.836331 Ha
Worker 2: Step 47 accepted, E=-10.835552 Ha
Worker 8: Step 7 accepted, E=-10.836277 Ha
Worker 2: Step 48 accepted, E=-10.835560 Ha
Worker 1: Step 75 accepted, E=-10.836181 Ha
Worker 8: Step 8 accepted, E=-10.836307 Ha
Worker 2: Step 49 accepted, E=-10.835609 Ha
Worker 1: Step 76 accepted, E=-10.836172 Ha
Worker 2: Step 50 accepted, E=-10.835782 Ha
Worker 1: Step 77 accepted, E=-10.836194 Ha
Worker 17: No change from 'mirror', skipping.
Worker 1: No change from 'small_principal_axis_rotation', skipping.
Worker 2: Step 51 accepted, E=-10.835940 Ha
Worker 1: Step 79 accepted, E=-10.835957 Ha
Worker 17: Step 6 accepted, E=-10.836356 Ha
Worker 2: Step 52 accepted, E=-10.836026 Ha
Worker 1: Step 80, op=random_rotation, ΔE=0.0001 eV, accept=True
Worker 1: Step 80 accepted, E=-10.835953 Ha
Worker 17: Step 7 accepted, E=-10.836189 Ha
Worker 2: Step 53 accepted, E=-10.836061 Ha
Worker 1: Step 81 accepted, E=-10.836192 Ha
Worker 17: Step 8 accepted, E=-10.836282 Ha
Worker 2: Step 54 accepted, E=-10.836068 Ha
Worker 1: Step 82 accepted, E=-10.836156 Ha
Worker 2: Step 55 accepted, E=-10.836067 Ha
Worker 13: Step 1 accepted, E=-10.836362 Ha
Worker 1: Step 83 accepted, E=-10.836150 Ha
Worker 17: Step 10, op=random_displacement, ΔE=0.0081 eV, accept=True
Worker 17: Step 10 accepted, E=-10.835986 Ha
Worker 2: Step 56 accepted, E=-10.836088 Ha
Worker 1: Step 84 accepted, E=-10.836158 Ha
Worker 17: Step 11 accepted, E=-10.836009 Ha
Worker 2: Step 57 accepted, E=-10.836105 Ha
Worker 1: Step 85 accepted, E=-10.836184 Ha
Worker 1: Step 86 accepted, E=-10.836135 Ha
Worker 2: Step 60 accepted, E=-10.836149 Ha
Worker 17: Step 14 accepted, E=-10.836321 Ha
Worker 2: Step 61 accepted, E=-10.836153 Ha
Worker 1: Step 88 accepted, E=-10.836106 Ha
Worker 2: Step 62 accepted, E=-10.836234 Ha
Worker 17: Step 16 accepted, E=-10.836325 Ha
Worker 1: Step 89 accepted, E=-10.836109 Ha
Worker 2: Step 63 accepted, E=-10.836230 Ha
Worker 17: Step 17 accepted, E=-10.836306 Ha
Worker 1: Step 90, op=small_principal_axis_rotation, ΔE=0.0008 eV, accept=True
Worker 1: Step 90 accepted, E=-10.836078 Ha
Worker 2: Step 64 accepted, E=-10.836176 Ha
Worker 17: Step 18 accepted, E=-10.836306 Ha
Worker 1: Step 91 accepted, E=-10.836062 Ha
Worker 2: Step 65 accepted, E=-10.836167 Ha
Worker 17: Step 19 accepted, E=-10.836240 Ha
Worker 1: Step 92 accepted, E=-10.836055 Ha
Worker 2: Step 66 accepted, E=-10.836158 Ha
Worker 17: Step 20, op=random_rotation, ΔE=0.0004 eV, accept=True
Worker 1: Step 93 accepted, E=-10.836050 Ha
Worker 17: Step 20 accepted, E=-10.836225 Ha
Worker 2: Step 67 accepted, E=-10.836151 Ha
Worker 1: Step 94 accepted, E=-10.836031 Ha
Worker 17: Step 21 accepted, E=-10.834580 Ha
Worker 2: Step 68 accepted, E=-10.836131 Ha
Worker 17: Step 22 accepted, E=-10.834506 Ha
Worker 1: Step 95 accepted, E=-10.836083 Ha
Worker 17: Step 23 accepted, E=-10.834414 Ha
Worker 1: Step 96 accepted, E=-10.834772 Ha
Worker 2: Step 70 accepted, E=-10.836134 Ha
Worker 1: Step 97 accepted, E=-10.835456 Ha
Worker 17: Step 24 accepted, E=-10.832874 Ha
Worker 2: Step 71 accepted, E=-10.836154 Ha
Worker 2: No change from 'small_principal_axis_rotation', skipping.
Worker 1: Step 98 accepted, E=-10.835749 Ha
Worker 17: Step 25 accepted, E=-10.832816 Ha
Worker 2: Step 73 accepted, E=-10.836132 Ha
Worker 1: Step 99 accepted, E=-10.835537 Ha
Worker 3: Step 13 accepted, E=-10.835999 Ha
Worker 2: Step 74 accepted, E=-10.836116 Ha
Worker 1: Step 100 accepted, E=-10.835594 Ha
Worker 3: Step 14 accepted, E=-10.835920 Ha
Worker 2: Step 75 accepted, E=-10.836077 Ha
Worker 1: Step 101 accepted, E=-10.835941 Ha
Worker 3: Step 15 accepted, E=-10.835613 Ha
Worker 2: Step 76 accepted, E=-10.836092 Ha
Worker 1: Step 102 accepted, E=-10.835894 Ha
Worker 11: Step 4 accepted, E=-10.836055 Ha
Worker 3: Step 16 accepted, E=-10.835602 Ha
Worker 2: Step 77 accepted, E=-10.836084 Ha
Worker 1: Step 103 accepted, E=-10.835862 Ha
Worker 11: Step 5 accepted, E=-10.835930 Ha
Worker 3: Step 17 accepted, E=-10.832983 Ha
Worker 2: Step 78 accepted, E=-10.836068 Ha
Worker 1: Step 104 accepted, E=-10.833934 Ha
Worker 11: Step 6 accepted, E=-10.836072 Ha
Worker 3: Step 18 accepted, E=-10.832991 Ha
Worker 1: No change from 'small_principal_axis_rotation', skipping.
Worker 11: No change from 'mirror', skipping.
Worker 2: Step 79 accepted, E=-10.836080 Ha
Worker 3: Step 19 accepted, E=-10.833109 Ha
Worker 1: Step 106 accepted, E=-10.833869 Ha
Worker 11: Step 8 accepted, E=-10.836008 Ha
Worker 2: Step 80 accepted, E=-10.836105 Ha
