
Host: sv1-c724

Timers On : Tue Mar 17 08:36:28 2026
Timers Off: Tue Mar 17 08:36:35 2026

Wall Time:        7.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.017s      0.250w      3 calls
Libint2ERI::Libint2ERI              :      0.083u      0.033s      0.282w     21 calls
DFH: initialize()                   :      0.117u      0.017s      0.204w      3 calls
DFH: AO Construction                :      0.033u      0.000s      0.054w      3 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      3 calls
HF: Form core H                     :      0.000u      0.017s      0.022w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w      3 calls
HF: Guess                           :      0.150u      0.000s      0.181w      3 calls
SAD Guess                           :      0.150u      0.000s      0.176w      1 calls
HF: Form G                          :      0.017u      0.000s      0.009w     31 calls
JK: D                               :      0.000u      0.000s      0.000w     31 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     31 calls
JK: JK                              :      0.017u      0.000s      0.007w     31 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.007w     31 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     31 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     31 calls
DFH: compute_K                      :      0.017u      0.000s      0.004w     31 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.000w     31 calls
HF: Form D                          :      0.000u      0.000s      0.000w     31 calls
HF: DIIS                            :      0.133u      0.000s      0.125w     30 calls
HF: Form C                          :      0.017u      0.000s      0.015w     30 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.012w      3 calls
Grad: S                             :      0.000u      0.000s      0.022w      3 calls
Grad: JK                            :      0.250u      0.017s      0.507w      3 calls
JKGrad: Amn                         :      0.050u      0.000s      0.033w      3 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      3 calls
JKGrad: AB                          :      0.050u      0.000s      0.025w      3 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      3 calls
JKGrad: ABx                         :      0.050u      0.000s      0.024w      3 calls
JKGrad: Amnx                        :      0.083u      0.000s      0.414w      3 calls
Grad: XC                            :      0.000u      0.000s      0.000w      3 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.017s      0.250w      3 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.239w      3 calls
DFH: initialize()                   :      0.117u      0.017s      0.204w      3 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.021w      6 calls
| DFH: AO Construction              :      0.033u      0.000s      0.054w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      3 calls
HF: Form core H                     :      0.000u      0.017s      0.022w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w      3 calls
HF: Guess                           :      0.150u      0.000s      0.181w      3 calls
| SAD Guess                         :      0.150u      0.000s      0.176w      1 calls
HF: Form G                          :      0.017u      0.000s      0.009w     31 calls
| JK: D                             :      0.000u      0.000s      0.000w     31 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     31 calls
| JK: JK                            :      0.017u      0.000s      0.007w     31 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.007w     31 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     31 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     31 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.004w     31 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.000w     31 calls
HF: Form D                          :      0.000u      0.000s      0.000w     31 calls
HF: DIIS                            :      0.133u      0.000s      0.125w     30 calls
HF: Form C                          :      0.017u      0.000s      0.015w     30 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.012w      3 calls
Grad: S                             :      0.000u      0.000s      0.022w      3 calls
Grad: JK                            :      0.250u      0.017s      0.507w      3 calls
| JKGrad: Amn                       :      0.050u      0.000s      0.033w      3 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.011w      3 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      3 calls
| JKGrad: AB                        :      0.050u      0.000s      0.025w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      3 calls
| JKGrad: ABx                       :      0.050u      0.000s      0.024w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: Amnx                      :      0.083u      0.000s      0.414w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.011w      3 calls
Grad: XC                            :      0.000u      0.000s      0.000w      3 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 08:36:28 2026
Timers Off: Tue Mar 17 08:36:35 2026

Wall Time:        7.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.017s      0.267w      5 calls
Libint2ERI::Libint2ERI              :      0.117u      0.017s      0.311w     35 calls
DFH: initialize()                   :      0.150u      0.017s      0.230w      5 calls
DFH: AO Construction                :      0.017u      0.000s      0.060w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.025w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.008w      5 calls
HF: Guess                           :      0.167u      0.017s      0.181w      5 calls
